id,nset1,nset2,nset3,nset4,nset5,nset6,nset7,nset8,nset9,nset10,nset11,nset12,mset1,mset2,mset3,mset4,mset5,mset6,mset7,mset8,mset9,mset10,mset11,mset12,TotAmt,TotTrans
32421,0,0.357,0.143,0.357,0,0,0,0.143,0,0,0,0,0,0.162,0.237,0.568,0,0,0,0.033,0,0,0,0,441082.18,14
32430,0,0.724,0.007,0,0.118,0.138,0,0,0,0,0,0,0,0.664,0.005,0,0.115,0.206,0,0,0,0,0,0,3961701.74,152
32479,0,0.019,0,0.778,0.037,0.13,0,0,0,0,0,0.037,0,0.033,0,0.728,0.052,0.107,0,0,0,0,0,0.08,1222299.44,54
32489,0,0,0,0.115,0.154,0,0,0,0,0.423,0,0.077,0,0,0,0.084,0.019,0,0,0,0,0.363,0,0.027,959181.34,26
32497,0,0.067,0,0.467,0,0.133,0.067,0.133,0,0,0,0,0,0.053,0,0.044,0,0.287,0.038,0.205,0,0,0,0,1049534.97,15
32509,0,0.043,0.085,0.298,0.043,0.021,0,0.043,0,0,0.064,0,0,0.012,0.022,0.092,0.037,0.008,0,0.025,0,0,0.339,0,2150319.38,47
32510,0,0.273,0,0.364,0,0.273,0,0,0,0,0,0,0,0.234,0,0.318,0,0.129,0,0,0,0,0,0,196346.42,11
32553,0,0.164,0.255,0.036,0.073,0.036,0.091,0.182,0.036,0,0,0,0,0.174,0.483,0.043,0.087,0.006,0.003,0.002,0,0,0,0,1065533.4,55
32559,0,0.333,0,0.074,0.259,0,0.259,0,0,0,0.074,0,0,0.255,0,0.028,0.192,0,0.282,0,0,0,0.244,0,455440.4,27
32574,0,0,0,0.647,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,91973.49,17
32586,0,0,0,0.147,0.147,0,0,0,0.529,0,0,0,0,0,0,0.01,0.067,0,0,0,0.645,0,0,0,1170140.17,34
32597,0,0.067,0,0,0.067,0.667,0,0,0,0,0,0,0,0.113,0,0,0.057,0.55,0,0,0,0,0,0,180293.97,15
32603,0,0.694,0,0.037,0,0,0,0.019,0,0,0,0,0,0.92,0,0,0,0,0,0.014,0,0,0,0,6230589.47,108
32613,0,0.071,0.714,0.167,0.024,0,0,0.024,0,0,0,0,0,0.134,0.605,0.215,0.031,0,0,0.016,0,0,0,0,706574.2,42
32621,0,0,0,0.429,0,0,0,0,0,0.571,0,0,0,0,0,0.023,0,0,0,0,0,0.977,0,0,81148.4,21
32627,0,0.4,0,0.4,0,0.133,0,0,0.067,0,0,0,0,0.19,0,0.729,0,0.04,0,0,0.042,0,0,0,535381.12,15
32630,0,0,0,0.471,0,0,0.039,0,0,0.353,0,0,0,0,0,0.66,0,0,0.024,0,0,0.238,0,0,430046.56,51
32632,0,0.308,0.077,0.539,0.077,0,0,0,0,0,0,0,0,0.175,0.017,0.783,0.026,0,0,0,0,0,0,0,222679.69,13
32637,0,0.308,0,0,0,0.077,0,0.077,0,0,0,0,0,0.369,0,0,0,0.016,0,0.075,0,0,0,0,167370.24,13
32639,0,0,0,0.417,0.25,0,0.333,0,0,0,0,0,0,0,0,0.015,0.317,0,0.668,0,0,0,0,0,102323.5,12
32646,0,0.313,0.063,0.125,0.25,0.125,0.063,0.063,0,0,0,0,0,0.258,0.103,0.003,0.448,0.09,0.055,0.045,0,0,0,0,143240.69,16
32647,0,0.323,0,0.031,0.015,0.062,0,0.046,0,0.246,0,0.031,0,0.222,0,0.104,0.018,0.046,0,0.03,0,0.11,0,0.022,1476407.3,65
32649,0,0.103,0,0.828,0,0,0,0.069,0,0,0,0,0,0.104,0,0.83,0,0,0,0.066,0,0,0,0,667287.6,29
32660,0,0,0,0.579,0.158,0,0,0.053,0,0,0,0,0,0,0,0.034,0.795,0,0,0.036,0,0,0,0,371723.46,19
32661,0,0.01,0.09,0.52,0.07,0,0.01,0.02,0,0.19,0,0,0,0.003,0.067,0.55,0.236,0,0.008,0.044,0,0.064,0,0,5700065.71,100
32674,0,0.167,0,0.667,0,0,0,0.167,0,0,0,0,0,0.63,0,0.031,0,0,0,0.34,0,0,0,0,32672.85,6
32760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425500,7
32769,0,0.546,0,0.046,0,0,0.136,0,0,0.273,0,0,0,0.418,0,0.025,0,0,0.189,0,0,0.368,0,0,222267.14,22
32773,0,0,0.048,0.524,0,0,0,0,0,0,0.048,0,0,0,0.015,0.002,0,0,0,0,0,0,0.786,0,1251533.14,21
32779,0.012,0.229,0.035,0.088,0.077,0.077,0.006,0.077,0,0,0,0.088,0.014,0.09,0.024,0.026,0.043,0.066,0.006,0.044,0,0,0,0.024,4213702.45,170
32787,0,0,0.067,0.733,0.067,0,0.133,0,0,0,0,0,0,0,0.025,0.899,0.023,0,0.053,0,0,0,0,0,473733.57,15
32790,0,0,0.286,0.286,0.286,0,0.143,0,0,0,0,0,0,0,0.297,0.105,0.584,0,0.015,0,0,0,0,0,253568.03,7
32791,0,0.118,0.147,0,0.029,0,0.118,0,0,0.294,0,0,0,0.025,0.184,0,0.008,0,0.027,0,0,0.234,0,0,967777.18,34
32813,0.03,0.515,0,0.424,0,0.03,0,0,0,0,0,0,0.025,0.661,0,0.293,0,0.021,0,0,0,0,0,0,364230.22,33
32815,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1174151.34,12
32844,0,0.375,0.25,0,0.313,0,0.063,0,0,0,0,0,0,0.477,0.161,0,0.293,0,0.068,0,0,0,0,0,639893.54,16
32850,0,0.4,0.04,0,0,0,0,0,0,0,0,0,0,0.401,0.049,0,0,0,0,0,0,0,0,0,151702.59,25
32864,0,0.071,0,0.929,0,0,0,0,0,0,0,0,0,0.614,0,0.386,0,0,0,0,0,0,0,0,45177.74,14
32870,0,0.018,0,0.364,0.073,0.036,0,0.018,0,0.4,0,0,0,0.013,0,0.483,0.105,0.033,0,0.012,0,0.163,0,0,828666.43,55
32871,0,0.125,0,0,0.375,0,0.25,0,0,0,0,0,0,0.051,0,0,0.034,0,0.9,0,0,0,0,0,1256716.1,8
32874,0,0,0,0.13,0.044,0.044,0,0.174,0,0.348,0,0,0,0,0,0.031,0.145,0.059,0,0.058,0,0.062,0,0,526751.61,23
32886,0,0,0,0.5,0.375,0,0,0,0,0,0,0,0,0,0,0.02,0.814,0,0,0,0,0,0,0,83634.8,8
32922,0,0.044,0.217,0.174,0.044,0.087,0.087,0.13,0,0,0,0,0,0.025,0.214,0.014,0.077,0.113,0.323,0.088,0,0,0,0,857453.54,23
32934,0,0,0,0,0,0.011,0,0,0,0.979,0.011,0,0,0,0,0,0,0.011,0,0,0,0.904,0.086,0,2687958.24,94
32960,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,71854,6
32971,0,0,0,0.412,0,0,0,0.059,0,0,0,0,0,0,0,0.034,0,0,0,0.257,0,0,0,0,245112.05,17
32976,0,0,0,0.375,0,0,0.625,0,0,0,0,0,0,0,0,0.234,0,0,0.766,0,0,0,0,0,3477.26,8
32984,0,0.209,0.023,0.488,0.023,0,0.093,0.07,0,0,0.047,0,0,0.244,0.027,0.173,0.036,0,0.003,0.037,0,0,0.386,0,411185.44,43
33001,0,0.4,0,0,0,0,0,0,0,0.6,0,0,0,0.503,0,0,0,0,0,0,0,0.498,0,0,196693.11,10
33003,0.026,0.395,0.013,0.447,0,0.013,0,0.053,0,0,0.013,0.026,0.1,0.395,0.017,0.142,0,0.011,0,0.048,0,0,0.251,0.022,1109246.68,76
33006,0,0.143,0,0,0,0,0.143,0,0,0.714,0,0,0,0.632,0,0,0,0,0.209,0,0,0.159,0,0,203246.92,7
33018,0,0.067,0.133,0.6,0,0,0,0.067,0,0,0,0,0,0.206,0.13,0.596,0,0,0,0.016,0,0,0,0,284135.58,15
33022,0,0.804,0.054,0,0.018,0.054,0,0.018,0,0,0,0,0,0.739,0.059,0,0.024,0.065,0,0.014,0,0,0,0,939763.37,56
33031,0,0.568,0.046,0.125,0.08,0.046,0,0.023,0.023,0,0,0,0,0.501,0.088,0.003,0.075,0.063,0,0.021,0,0,0,0,2198517.06,88
33046,0,0,0,0.815,0.111,0.037,0.037,0,0,0,0,0,0,0,0,0.815,0.107,0.031,0.047,0,0,0,0,0,608879.77,27
33091,0,0.042,0,0.167,0,0.167,0.25,0,0,0,0,0,0,0.009,0,0.022,0,0.021,0.55,0,0,0,0,0,2673801.3,48
33097,0.222,0.333,0,0,0.111,0,0,0.111,0,0,0,0,0.559,0.276,0,0,0.05,0,0,0.076,0,0,0,0,296676.73,9
33099,0,0.533,0,0,0,0,0,0,0,0.467,0,0,0,0.356,0,0,0,0,0,0,0,0.644,0,0,204840.51,15
33110,0.007,0.423,0.027,0.128,0.06,0.013,0.04,0.013,0,0,0,0.007,0.001,0.242,0.057,0.158,0.033,0.003,0.011,0.002,0,0,0,0.061,10824759.96,149
33121,0.027,0.351,0.541,0.027,0.054,0,0,0,0,0,0,0,0.003,0.183,0.794,0.003,0.018,0,0,0,0,0,0,0,1629039.7,37
33153,0,0.182,0.091,0.152,0.182,0.061,0,0.242,0.03,0,0,0,0,0.241,0.154,0.114,0.018,0.013,0,0.06,0.001,0,0,0,721607.67,33
33170,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,262934.58,19
33177,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1286.86,10
33194,0.031,0.313,0,0.094,0.219,0.063,0.063,0,0,0,0,0,0.031,0.255,0,0.126,0.301,0.064,0.016,0,0,0,0,0,551392.5,32
33195,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,2022032.61,23
33199,0,0.647,0,0,0.177,0,0,0.177,0,0,0,0,0,0.933,0,0,0.06,0,0,0.008,0,0,0,0,1140158.7,17
33209,0,0,0.056,0.861,0,0,0,0,0,0,0,0,0,0,0.052,0.861,0,0,0,0,0,0,0,0,756809.47,36
33229,0,0.188,0,0.063,0,0,0,0,0,0.75,0,0,0,0.266,0,0.299,0,0,0,0,0,0.435,0,0,163728.7,16
33250,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,289382.18,71
33268,0,0.579,0.053,0,0,0,0,0,0,0.053,0.316,0,0,0.277,0.039,0,0,0,0,0,0,0.102,0.583,0,476384.62,19
33276,0,0,0.222,0.111,0.222,0,0.333,0,0,0,0,0,0,0,0.332,0.092,0.316,0,0.017,0,0,0,0,0,150322.86,9
33281,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,145441.82,33
33304,0.909,0,0,0,0,0,0.091,0,0,0,0,0,0.93,0,0,0,0,0,0.07,0,0,0,0,0,1094460,11
33307,0,0.033,0,0,0.767,0.033,0.033,0.133,0,0,0,0,0,0.014,0,0,0.895,0.007,0.013,0.071,0,0,0,0,1025051.7,30
33311,0,0.275,0.575,0.05,0.025,0.05,0,0,0,0,0,0,0,0.295,0.635,0.018,0.018,0.02,0,0,0,0,0,0,991187.08,40
33314,0,0.012,0.209,0.004,0.079,0.051,0,0,0,0,0,0,0,0.008,0.243,0,0.05,0.02,0,0,0,0,0,0,5544304.59,254
33328,0,0.448,0,0.326,0,0.086,0,0.005,0,0.041,0,0,0,0.342,0,0.39,0,0.16,0,0.004,0,0.009,0,0,3713120.57,221
